Venue,latitude,longitude,elevation,geocode_result
Stockholm (SWE) (i),59.3587062,17.8736682,21.0,"Swe Bilar, Bergslagsvägen, Vällingby, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 162 65, Sverige"
Ljubljana (SLO),46.0632918,14.5520767,291.0,"Aquafil SLO (Yulon), 15, Letališka cesta, Četrtna skupnost Jarše, Ljubljana, Upravna Enota Ljubljana, 1000, Slovenija"
Sheffield (GBR),53.3806626,-1.4702278,89.0,"Sheffield, South Yorkshire, England, United Kingdom"
Athina (GRE),36.39950806230575,28.085677123364555,34.0,NOT FOUND
Somoskő (HUN),48.1685827,19.855523,426.0,NOT FOUND
"Ullevi Stadium, Göteborg (SWE)",57.7072326,11.9670171,8.0,NOT FOUND
Milano (ITA),45.4892743,9.1863836,131.0,"Ankh Ita, 13, Via Luigi Porro Lambertenghi, Isola, Municipio 9, Milano, Lombardia, 20159, Italia"
"Velódromo Luis Puig, Valencia (ESP) (i)",39.4670574,-0.3820707,28.0,"Nutritech Esp, 10, Carrer de Troia, la Roqueta, Extramurs, València, Comarca de València, València / Valencia, Comunitat Valenciana, 46007, España"
"Meteor, Zhukovskiy (RUS)",53.8907473,59.0129537,452.0,NOT FOUND
"Parc des Sports, Annecy (FRA)",45.8992348,6.1288847,453.0,"Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France"
Kazan (RUS),55.769492,49.147193,61.0,"Российский исламский институт, 19, Газовая улица, Приволжский район, Казань, городской округ Казань, Татарстан, Приволжский федеральный округ, 420049, Россия"
Rijeka (CRO) (i),45.3267976,14.442208,10.0,"Grad Rijeka, Primorsko-goranska županija, Hrvatska"
Split (CRO) (i),43.5116383,16.4399659,17.0,"Split, Grad Split, Splitsko-dalmatinska županija, Hrvatska"
"DS, Daegu (KOR)",35.8713,128.6018,47.0,NOT FOUND
"Hayward Field, Eugene, OR (USA)",44.0422171,-123.070799,139.0,"Hayward Field, East 15th Avenue, Eugene, Lane County, Oregon, 97403, United States"
"Olympiastadion, Stockholm (SWE)",59.3587062,17.8736682,21.0,"Swe Bilar, Bergslagsvägen, Vällingby, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 162 65, Sverige"
"Nákupní centrum Olympia, Brno (CZE)",49.1922443,16.6113382,225.0,NOT FOUND
"AIS Athletics Track, Canberra (AUS)",-35.2975906,149.1012676,554.0,NOT FOUND
"Memorial Coliseum, Los Angeles, CA (USA)",34.0139159,-118.2877996,54.0,"Los Angeles Memorial Coliseum, 3911, South Figueroa Street, Los Angeles, Los Angeles County, California, 90037, United States"
Roma (ITA),51.2929023,4.1670817,5.0,"Roma, 75, Kouterstraat, de Kouter, Kieldrecht, Beveren-Kruibeke-Zwijndrecht, Sint-Niklaas, Oost-Vlaanderen, 9130, België / Belgique / Belgien"
Lage (GER),53.3306802,6.7438449,0.0,"Ger Warink Muziek, 18, Lagestraat, Loppersum, Eemsdelta, Groningen, Nederland, 9919 AR, Nederland"
Nice (FRA),39.9573699,-82.8168103,272.0,"Nice Court, Briarcliff, Reynoldsburg, Truro Township, Franklin County, Ohio, 43068, United States"
"Seattle, WA (USA)",47.6038321,-122.330062,51.0,"Seattle, King County, Washington, United States"
Barcelona (ESP),41.3825802,2.177073,29.0,NOT FOUND
Liévin (FRA) (i),50.4245,2.7738,51.0,"Liévin, Lens, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62800, France"
"Palazzo dello Sport, Genova (ITA) (i)",44.40726,8.9338624,35.0,"Genova, Liguria, Italia"
Ahlen (GER),51.7627633,7.8909086,82.0,"Ahlen, Kreis Warendorf, Nordrhein-Westfalen, Deutschland"
Duisburg (GER),51.434999,6.759562,33.0,"Duisburg, Nordrhein-Westfalen, Deutschland"
"The Sky Dome, Toronto (CAN) (i)",5.3035124,-3.9786538,5.0,"Rue de Toronto, Cité Hibiscus, Marcory, Abidjan, Côte d’Ivoire"
Dijon (FRA),47.3215806,5.0414701,249.0,"Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France"
Monaco (MON),6.814645,-58.1358362,4.0,"Monaco, Second Street, Campbellville, Bel Air Park, City of Georgetown, Plaisance-Industry Local Government, Demerara-Mahaica, Guyana"
"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",48.8534951,2.3483915,38.0,NOT FOUND
Osaka (JPN),34.7349742,135.4945412,16.0,"JPN, 熊野大阪線, 宮原四丁目, 淀川区, 大阪市, 大阪府, 532-0003, 日本"
Villeneuve d'Ascq (FRA),50.6193174,3.1314002,37.0,"Villeneuve-d'Ascq, Lille, Nord, Hauts-de-France, France métropolitaine, France"
Łódź (POL) (i),51.7796742,19.4222777,189.0,"Pol-Soft. K. Struszczyk, Łódź-Polesie, Łódź, województwo łódzkie, Polska"
"CM, Madrid (ESP)",4.7279951,-74.284617,2548.0,"Aguas de La Prosperidad ESP, Carrera 23, Potrero Grande, Madrid, Sabana Occidente, Cundinamarca, RAP (Especial) Central, 250030, Colombia"
Bastad (SWE),56.4268963,12.8608789,16.0,NOT FOUND
"Olympiastadion, Helsinki (FIN)",60.1839934,24.9589871,0.0,"Fin Budo Best, 34, Hämeentie, Torkkelinmäki, Kallio, Keskinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, 00530, Suomi / Finland"
"Olimpiyskiy Stadion, Moskva (RUS) (i)",55.6918053,37.5556847,182.0,"РГУ нефти и газа (НИУ) им. И. М. Губкина, улица Дмитрия Ульянова, Гагаринский район, Москва, Центральный федеральный округ, 119333, Россия"
