Venue,latitude,longitude,elevation,geocode_result
"Stade Pierre de Coubertin, Montgeron (FRA)",48.7038873,2.4605107,79.0,"Montgeron, Évry, Essonne, Île-de-France, France métropolitaine, 91230, France"
"Stade des Maradas, Cergy-Pontoise (FRA)",49.0383138,2.071712,48.0,"Communauté d'agglomération de Cergy-Pontoise, Val-d'Oise, Île-de-France, France métropolitaine, France"
Tianjin (CHN) (i),43.9012492,125.321067,219.0,"天津路, 南广场, 新广街道, 宽城区, 长春市, 吉林省, 130051, 中国"
San Juan (PUR),18.465299,-66.116666,26.0,NOT FOUND
Metz (FRA),49.1196964,6.1763552,193.0,"Metz, Moselle, Grand Est, France métropolitaine, France"
Trnava (SVK),48.3767652,17.5858175,148.0,NOT FOUND
"Miramar, FL (USA)",25.9873137,-80.2322706,8.0,"Miramar, Broward County, Florida, 33023, United States"
Jögeva (EST),58.77104275,26.56860000319473,96.0,NOT FOUND
Lima (PER),-7.900719,-34.898389,43.0,"Abreu e Lima, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil"
Trujillo (PER),-8.1127548,-79.0344986,31.0,"Avenida Jesús de Nazareth, Avenida Juan Pablo II, Urbanización El Recreo, Trujillo, La Libertad, 13001, Perú"
"Stadion ŠC Sloboda, Varaždin (CRO)",46.3079645,16.3378198,177.0,"Grad Varaždin, Varaždinska županija, Hrvatska"
"Life University Track & Field Stadium, Marietta, GA (USA)",32.3293809,-83.1137366,112.0,"Georgia, United States"
Neurim (ISR),31.985288,34.808144,51.0,"אלי כהן/גיבורי ישראל, אלי כהן, נחלת יהודה, ראשון לציון, נפת רחובות, מחוז המרכז, 7528766, ישראל"
"Jāņa Daliņa Stadium, Valmiera (LAT)",57.5405938,25.439661,49.0,NOT FOUND
"Ann Arbor, MI (USA)",42.2813722,-83.7484616,261.0,"Ann Arbor, Washtenaw County, Michigan, United States"
Vilafranca del Penedès (ESP) (i),41.3463825,1.6995213,237.0,NOT FOUND
Noisy-le-Grand (FRA),48.8492238,2.5524906,86.0,"Noisy-le-Grand, Le Raincy, Seine-Saint-Denis, Île-de-France, France métropolitaine, 93160, France"
Kunshan (CHN),31.3869323,120.9764683,7.0,NOT FOUND
Oordegem (BEL),50.9574043,3.90209,36.0,NOT FOUND
Hendon (GBR),51.5897175,-0.2216026,79.0,"Hendon, London Borough of Barnet, Greater London, England, NW4 1BP, United Kingdom"
"Orlando, FL (USA)",28.5421218,-81.379045,46.0,"Orlando, Orange County, Florida, United States"
"Bezirkssportanlage Planetenring, Garbsen (GER)",52.4276606,9.6005102,53.0,"Garbsen, Region Hannover, Niedersachsen, Deutschland"
"Centro de Atletismo de Tenerife, Santa Cruz de Tenerife (ESP)",28.467178,-16.2507843,37.0,NOT FOUND
Benxi (CHN),41.176944,124.157425,543.0,NOT FOUND
Clusone (ITA),45.887088,9.949656,597.0,"Clusone, Bergamo, Lombardia, 24023, Italia"
Płonsk (POL),52.5077861,20.2569021,135.0,"Pałac z 2 poł. XIX wieku, Szkolna, Nacpolsk, gmina Naruszewo, powiat płoński, województwo mazowieckie, 09-162, Polska"
"Erika-Fisch-Stadion, Hannover (GER)",52.3744779,9.7385532,62.0,"Hannover, Region Hannover, Niedersachsen, Deutschland"
"Jahnstadion, Osterode (GER)",52.0296762,10.6768229,135.0,"Osterode, Osterwieck, Landkreis Harz, Sachsen-Anhalt, Deutschland"
"Stade du Brotillon, Pierre-Bénite (FRA)",45.7028321,4.8241323,166.0,"Pierre-Bénite, Oullins-Pierre-Bénite, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69310, France"
Cardiff (GBR) (i),51.4816546,-3.1791934,12.0,"Cardiff, Cymru / Wales, CF10 2AF, United Kingdom"
Bar (MNE),42.1009762,19.1024526,16.0,"Pauza.mne, 2d, Borska ulica, Makedonsko naselje, Bar, Opština Bar, 85354, Crna Gora / Црна Гора"
Celje (SLO) (i),46.2293889,15.2616828,241.0,NOT FOUND
Alytus (LTU),54.3961344,24.0459268,92.0,NOT FOUND
"Jamaica College Ashenheim Stadium, Kingston (JAM)",17.975215,-76.8175653,8.0,"Petro-Jam Oil Refineries, 96, Kingston, Surrey County, 15, Jamaica"
"Stade Philippides, Montpellier (FRA)",43.6112422,3.8767337,59.0,"Montpellier, Hérault, Occitanie, France métropolitaine, France"
"Seha Aksoy Atletizm Pisti, Izmir (TUR)",38.4311388,27.1363319,10.0,"Boyacıoğlu Tur, Cumhuriyet Bulvarı, Pasaport, Kültür Mahallesi, İzmir, Konak, İzmir, Ege Bölgesi, 35220, Türkiye"
Roma (ITA) (i),41.8933203,12.4829321,50.0,"Roma, Roma Capitale, Lazio, Italia"
Tiantai (CHN),44.5891125,125.5631066,195.0,"天台镇, 长春市, 吉林省, 130000, 中国"
Petrozavodsk (RUS),61.789221,34.3688041,0.0,NOT FOUND
Sparti (GRE),38.71469655,20.74130279940625,17.0,NOT FOUND
Jämsä (FIN),61.8637802,25.1897493,0.0,NOT FOUND
Salzburg (AUT),47.7981346,13.0464806,434.0,NOT FOUND
"Leichtathletikhalle im Sportforum, Chemnitz (GER) (i)",50.8323531,12.918914,304.0,"Chemnitz, Lichtenau, Sachsen, Deutschland"
"Guangdong Ersha Sports Training Center, Guangzhou (CHN)",43.8968133,125.3243324,214.0,"广州路, 三角地, 新广街道, 宽城区, 长春市, 吉林省, 130051, 中国"
Jablonec nad Nisou (CZE),50.7240899,15.1710958,518.0,NOT FOUND
Como (ITA),45.7211167,9.2149668,306.0,"Ita Store, 32, Strada provinciale 41 Vallassina, Romanò Brianza, Arosio, Como, Lombardia, 22060, Italia"
Eindhoven (NED),51.4392648,5.478633,24.0,NOT FOUND
Ljubljana (SLO) (i),46.0632918,14.5520767,291.0,"Aquafil SLO (Yulon), 15, Letališka cesta, Četrtna skupnost Jarše, Ljubljana, Upravna Enota Ljubljana, 1000, Slovenija"
"Croix-Bleue Medavie Stadium, Moncton (CAN)",46.0985679,-64.8004265,32.0,NOT FOUND
"Clemson, SC (USA)",34.6850749,-82.8364111,219.0,"Clemson, Pickens County, South Carolina, 29631, United States"
Pathum Thani (THA),14.0803261,100.611434,10.0,"สถาบันเทคโนโลยีแห่งเอเชีย, 3rd Street, ตำบลคลองหนึ่ง, เทศบาลเมืองท่าโขลง, อำเภอคลองหลวง, จังหวัดปทุมธานี, 12121, ประเทศไทย"
"Lynchburg, VA (USA)",37.4137536,-79.1422464,206.0,"Lynchburg, Virginia, United States"
"HOC Stadium, Hangzhou (CHN)",43.90452,125.3133782,227.0,"杭州路, 西广场, 站前街道, 宽城区, 长春市, 绿园区, 吉林省, 130051, 中国"
Ancona (ITA),43.6272735,13.4035644,0.0,"Ita Sushi, 496, Via Flaminia, Falconara Marittima, Ancona, Marche, 60015, Italia"
Macao (MAC),39.5619384,-8.0203032,323.0,"Mação, Penhascoso e Aboboreira, Mação, Santarém, Portugal"
Gent (BEL),51.0692579,3.696491,7.0,"Bel&Bo, 4, Staakskenstraat, Gent, Oost-Vlaanderen, 9000, België / Belgique / Belgien"
Vientiane (LAO),17.9640988,102.6133707,171.0,"ວຽງຈັນ, ເມືອງຈັນທະບູລີ, ນະຄອນຫຼວງວຽງຈັນ, ປະເທດລາວ"
Bengaluru (IND),13.0020215,76.1380658,949.0,"Bengaluru - Mangalore Highway, Bustenahalli, Buvanahalli, Hasana taluk, Hassan, Karnataka, 573202, India"
Maputo (MOZ),-25.9403593,32.4071099,28.0,"Moz River, Matola-Rio, Boane, Maputo, Zona Sul, Moçambique"
Hérouville (FRA),49.0998904,2.1280641,106.0,"Hérouville-en-Vexin, Pontoise, Val-d'Oise, Île-de-France, France métropolitaine, 95300, France"
"University Park, PA (USA) (i)",40.9699889,-77.7278831,229.0,"Pennsylvania, United States"
"LAM, Klaipėda (LTU) (i)",55.3104671,21.14879601045952,0.0,NOT FOUND
"Fukuoka University Stadium, Fukuoka (JPN)",33.6251241,130.6180016,456.0,NOT FOUND
"Stade de la Réunification de Bepanda, Douala (CMR)",4.055245149999999,9.71901943567341,25.0,NOT FOUND
Deyang (CHN),31.1244028,104.39013,499.0,NOT FOUND
"Tomblaine, Nancy (FRA)",48.6937223,6.1834097,205.0,"Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, France"
Hobart (AUS),-42.8825088,147.3281233,21.0,NOT FOUND
Quito (ECU),-0.219802,-78.4986442,2903.0,"ECU 911, Itchimbia, Quito, Pichincha, 170403, Ecuador"
Hamburg (GER) (i),53.550341,10.000654,26.0,"Hamburg, Deutschland"
"Hornet Stadium - Sac St., Sacramento, CA (USA)",36.7014631,-118.755997,2771.0,"California, United States"
"Aarhus Atletik og Løbeakademi, Århus (DEN) (i)",56.1589632,10.1915221,17.0,"Den Gamle By, Brostræde, Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark"
Aachen (GER),50.776351,6.083862,178.0,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland"
Türi (EST),-3.5316763,-45.9865358,39.0,"Turi dos Costas, Bom Jardim, Região Geográfica Imediata de Santa Inês, Região Geográfica Intermediária de Santa Inês-Bacabal, Maranhão, Região Nordeste, Brasil"
Orvieto (ITA),42.7186152,12.1087907,326.0,"Orvieto, Terni, Umbria, 05018, Italia"
Modena (ITA),44.3320561,10.8307045,682.0,"Mensa R.ITA, Via Dorando Pietri, San Pellegrino, Casa Bellei, Pavullo nel Frignano, Unione dei comuni del Frignano, Modena, Emilia-Romagna, 41026, Italia"
"CPO, Formia (ITA)",41.259308,13.6080209,44.0,"Formia, Latina, Lazio, 04023, Italia"
"MGSU Sports Arena, Moskva (RUS) (i)",55.6918053,37.5556847,182.0,"РГУ нефти и газа (НИУ) им. И. М. Губкина, улица Дмитрия Ульянова, Гагаринский район, Москва, Центральный федеральный округ, 119333, Россия"
"Stade Omnisport de JAPOMA, Douala (CMR)",4.0574921,9.7221927,23.0,NOT FOUND
"Kameleonten Sports Hall, Espoo (FIN) (i)",60.2049651,24.6559808,0.0,NOT FOUND
"Sala de Atletism Ioan Soter, Bucureşti (ROU) (i)",44.4361414,26.1027202,97.0,NOT FOUND
"Pista Atletica, Sestriere (ITA)",44.9584528,6.8786855,2048.0,"Sestriere, Torino, Piemonte, 10058, Italia"
"Waco, TX (USA)",31.5491899,-97.1474628,146.0,"Waco, McLennan County, Texas, United States"
Maisons-Alfort (FRA),48.8012045,2.4309703,34.0,"Maisons-Alfort, Nogent-sur-Marne, Val-de-Marne, Île-de-France, France métropolitaine, 94700, France"
"Coolidge, AZ (USA)",32.977839,-111.517624,435.0,"Coolidge, Pinal County, Arizona, United States"
Baoding (CHN),38.8579735,115.490696,22.0,NOT FOUND
Oulu (FIN),65.0117869,25.4701983,0.0,NOT FOUND
Cuenca (ECU),-2.9119649,-79.001626,2510.0,"Parque ECU 911, Huayna Cápac, Cuenca, Azuay, 010150, Ecuador"
"BGUFK Arena, Minsk (BLR) (i)",53.9441345,27.666203,222.0,"Cummins Belarus, 169, МКАД, 56-ы кіламетр, Усход, Першамайскі раён, Мінск, 220016, Беларусь"
"Pilditch Stadium, Pretoria (RSA)",-25.7513796,28.1647047,1323.0,"Pilditch Stadium, Soutter Street, Pretoria-West, Tshwane Ward 60, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0116, South Africa"
"Stade L. Achille, Fort-de-France (FRA)",14.6027962,-61.0676724,10.0,"Fort-de-France, Martinique, France"
"Track & Field complex QAZAQSTAN, Astana (KAZ) (i)",51.1807653,71.374115,346.0,"Каз Мунай Тас, улица Акан Серы, Сарыарқа ауданы, Астана, 010000, Қазақстан"
Luohe (CHN),23.0304456,115.6306919,6.0,"螺河, 上村, 陆丰市, 汕尾市, 广东省, 中国"
L'Aigle (FRA),48.7651713,0.6278039,204.0,"L'Aigle, Mortagne-au-Perche, Orne, Normandie, France métropolitaine, 61300, France"
Kose (EST),37.121319,39.02985,453.0,"Köse, Haliliye, Şanlıurfa, Güneydoğu Anadolu Bölgesi, Türkiye"
Helsinki (FIN) (i),60.1839934,24.9589871,0.0,"Fin Budo Best, 34, Hämeentie, Torkkelinmäki, Kallio, Keskinen suurpiiri, Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, 00530, Suomi / Finland"
Utena (LTU),55.4984381,25.6025772,111.0,NOT FOUND
Ibagué (COL),22.1546835,-100.8994277,1841.0,"Abarrotes Ibague, 2003, Carretera Ciudad Valles-San Luis Potosí, Fraccionamiento Quintas de La Hacienda, Colonia San Rafael, Soledad de Graciano Sánchez, San Luis Potosí, 78438, México"
Reggio Calabria (ITA),38.1035389,15.6397556,21.0,"Reggio di Calabria, Reggio Calabria, Calabria, Italia"
Taian (CHN),23.2999696,115.6509269,46.0,"泰安桥, 建设路, 营盘村, 河南社区, 陆河县, 汕尾市, 广东省, 中国大陆, 中国"
Ust-Kamenogorsk (KAZ) (i),49.9490349,82.6394794,288.0,"бизнес центр каз-н, Қабанбай Батыр көшесі, Өскемен, Өскемен Қ.Ә., Шығыс Қазақстан облысы, 070019, Қазақстан"
"Leonora Stadium, Leonora (GUY)",6.86817815,-58.28095191821261,1.0,NOT FOUND
"Bestmed Tuks Stadium, Pretoria (RSA)",-25.7459277,28.1879101,1341.0,"Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0142, South Africa"
"Altice Forum, Braga (POR) (i)",41.6307726,-8.4358257,64.0,"Rua Pôr do Sol, Turiz, Vila Verde, Braga, 4730-571, Portugal"
Ciudad Real (ESP),10.6949682,122.5718039,5.0,"Esplanade 8, Iloilo Central Business District, City Proper, Iloilo City, Western Visayas, 5000, Philippines"
"Alumni Stadium, London (CAN)",-43.5207219,172.6537711,7.0,"London Street, Richmond, Linwood-Central-Heathcote Community, Christchurch City, Canterbury, 8013, New Zealand / Aotearoa"
"Kimpisen yleisurheilukenttä, Lappeenranta (FIN)",61.0583417,28.1862293,0.0,NOT FOUND
"Atletický stadion Střelnice, Jablonec nad Nisou (CZE)",50.7240899,15.1710958,518.0,NOT FOUND
Garoua (CMR),9.2972169,13.3901466,197.0,NOT FOUND
Pireaus (GRE),38.1203744,23.8579356,370.0,NOT FOUND
"Lincoln, NE (USA) (i)",41.7370229,-99.5873816,798.0,"Nebraska, United States"
Senta (SRB),45.9312407,20.0901597,84.0,NOT FOUND
Ashkhabad (TKM),,,,NOT FOUND
Avellino (ITA),40.9965446,15.140569,656.0,"Avellino, Campania, Italia"
"South Bend, IN (USA) (i)",40.3270127,-86.1746933,275.0,"Indiana, United States"
Agadir (MAR),30.4453671,-9.6570843,14.0,"Marche Anza, RN1, Anza ⴰⵏⵣⴰ أنزا, Agadir ⴰⴳⴰⴷⵉⵔ أݣادير, Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ باشوية أكادير, Préfecture d'Agadir Ida-Outanane ⵍⵄⴰⵎⴰⵍⴰ ⵏ ⴰⴳⴰⴷⵉⵔ ⵉⴷⴰ ⵡⵜⴰⵏⴰⵏ عمالة أكادير إدا وتنان, Souss-Massa ⵙⵓⵙⵙ-ⵎⴰⵙⵙⴰ سوس-ماسة, Maroc ⵍⵎⵖⵔⵉⴱ المغرب"
St-Denis-Réunion (FRA),-20.8968987,55.4952362,48.0,"Météo France, Boulevard du Chaudron, Le Chaudron, Saint-Denis, La Réunion, 97490, France"
"Kaarlen kenttä, Vaasa (FIN)",63.0957722,21.6159187,0.0,NOT FOUND
"Shangyu Stadium, Shaoxing (CHN)",29.9992425,120.576854,17.0,NOT FOUND
"Stade Annexe d’Abdoulaye Wade, Dakar (SEN)",52.3723071,9.7350744,61.0,"Dakar, Markt, Altstadt, Mitte, Hannover, Region Hannover, Niedersachsen, 30159, Deutschland"
"Znamenskikh Arena, Moskva (RUS) (i)",55.6918053,37.5556847,182.0,"РГУ нефти и газа (НИУ) им. И. М. Губкина, улица Дмитрия Ульянова, Гагаринский район, Москва, Центральный федеральный округ, 119333, Россия"
"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",37.5726028,-85.1551411,294.0,"Kentucky, United States"
Ierapetra (GRE) (i),35.005556549999994,25.735772041275325,5.0,NOT FOUND
Norrtälje (SWE),59.766667,18.7,37.0,NOT FOUND
Nancy (FRA),39.9775729,-82.8395066,262.0,"Ganse Lane, Columbus, Truro Township, Franklin County, Ohio, 43213, United States"
"Reggie Lewis Center, Boston, MA (USA) (i)",42.3788774,-72.032366,263.0,"Massachusetts, United States"
Braga (POR) (i),-8.7459798,-63.8623689,86.0,"Rua Francisco Braga, Igarapé, Porto Velho, Região Geográfica Imediata de Porto Velho, Região Geográfica Intermediária de Porto Velho, Rondônia, Região Norte, 76820-539, Brasil"
"Sportleistungszentrum, Hannover (GER) (i)",52.3744779,9.7385532,62.0,"Hannover, Region Hannover, Niedersachsen, Deutschland"
"Vasil Levski National Stadium, Sofia (BUL)",42.6863996,23.3323668,545.0,"Национален стадион Васил Левски, бул. Евлоги и Христо Георгиеви, София, Средец, Столична, София-град, 1040, България"
"T. Robinson Stadium, Nassau (BAH)",25.05436195,-77.36033708987534,4.0,NOT FOUND
"Plovdiv Stadium, Plovdiv (BUL)",42.1418541,24.7499297,169.0,"Пловдив, 4000, България"
"Hobbs, NM (USA)",32.7027017,-103.1355302,1106.0,"Hobbs, Lea County, New Mexico, United States"
Qatif (KSA),26.5586004,50.0087399,5.0,"القطيف, محافظة القطيف, المنطقة الشرقية, 32641, السعودية"
Okinawa (JPN),26.5707754,128.0255901,158.0,NOT FOUND
"Levy Mwanawasa Stadion, Ndola (ZAM)",-12.97553125,28.61122677401119,1292.0,NOT FOUND
"Kalinga Stadium, Bhubaneshwar (IND)",20.29038755,85.8244173635638,55.0,NOT FOUND
"Mason, OH (USA)",39.3600586,-84.309939,239.0,"Mason, Warren County, Ohio, 45040, United States"
Xinxiang (CHN),35.308611,114.051111,74.0,NOT FOUND
Dôle (FRA),47.0921047,5.4925463,224.0,"Dole, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39100, France"
Kitakyushu (JPN),33.8829996,130.8749015,7.0,NOT FOUND
Suphan Buri (THA),14.3040471,100.1487772,6.0,"แม่น้ำท่าจีน, จังหวัดสุพรรณบุรี, ประเทศไทย"
Colombo (SRI),6.8883219,79.9187415,3.0,"Sri Jayawardenepura Kotte, Colombo District, Western Province, 23010, Sri Lanka"
Belfast (GBR),54.5975805,-5.9277097,13.0,"Belfast, Belfast City District, County Antrim, Northern Ireland / Tuaisceart Éireann, United Kingdom"
"New Britain, CT (USA)",41.6612104,-72.7795419,55.0,"New Britain, Capitol Planning Region, Connecticut, United States"
Yerevan (ARM),40.1843827,44.5114778,1001.0,"Arm, 29 (10/1), Մեսրոպ Մաշտոցի պողոտա, Կենտրոն, Երևան, 0002, Հայաստան"
"Detroit, MI (USA)",42.3315509,-83.0466403,186.0,"Detroit, Wayne County, Michigan, United States"
"Kasarani, Nairobi (KEN)",-1.3109253,36.8734384,1620.0,"Ken's water point., Sasio Road, Viwandani, Viwandani ward, Makadara subcounty, Nairobi, 00507, Kenya"
Obihiro (JPN),42.923809,143.1966324,42.0,NOT FOUND
"Porterville, CA (USA)",36.06523,-119.0167679,143.0,"Porterville, Tulare County, California, 93257, United States"
"Stade Fiesque Duchesne, Baie Mahault (FRA)",16.2679458,-61.5870766,21.0,"Baie-Mahault, Basse-Terre, Guadeloupe, 97122, France"
Genève (SUI),46.2017559,6.1466014,414.0,"Genève, Schweiz/Suisse/Svizzera/Svizra"
Enugu (NGR),6.4496519,7.5136856,189.0,NOT FOUND
Tangshan (CHN),39.6295951,118.1738712,30.0,NOT FOUND
"Kusanagi Athletic Stadium, Shizuoka (JPN)",34.9751974,138.3831697,34.0,NOT FOUND
"Pittsburgh, PA (USA)",40.4406968,-80.0025666,241.0,"Pittsburgh, Allegheny County, Pennsylvania, United States"
Bad Camberg (GER),50.305569,8.280525,278.0,"Bad Camberg, Landkreis Limburg-Weilburg, Hessen, 65520, Deutschland"
Gaborone (BOT),-24.6581357,25.9088474,1015.0,NOT FOUND
Boksburg (RSA),-26.2124639,28.2617471,1623.0,"Boksburg, City of Ekurhuleni Metropolitan Municipality, Gauteng, 1459, South Africa"
Banjul (GAM),13.4410165,-16.56275092072591,0.0,NOT FOUND
Chennai (IND),12.981131,80.252613,4.0,"Rajiv Gandhi IT Expressway, CMWSSB Division 180, Ward 180, Zone 13 Adyar, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600041, India"
"Princeton, NJ (USA) (i)",40.0757384,-74.4041622,42.0,"New Jersey, United States"
Okayama (JPN),34.8581334,133.7759256,395.0,NOT FOUND
"Helmut-Schön-Sportpark, Wiesbaden (GER)",50.0820384,8.2416556,124.0,"Wiesbaden, Hessen, Deutschland"
"Stadion Zygmunta Szelesta, Warszawa (POL)",52.3043503,21.0196586,82.0,"Pol-Nil, Żerań, Białołęka, Warszawa, województwo mazowieckie, Polska"
"Sidi Youssef Ben Ali, Marrakech (MAR)",31.6090052,-7.9679007,479.0,"Sidi Youssef Ben Ali ⵙⵉⴷⵉ ⵢⵓⵙⴼ ⴱⵏ ⵄⵍⵉ سيدي يوسف بن علي, Arrondissement de Sidi Youssef Ben Ali مقاطعة سيدي يوسف بن علي, Marrakech ⵎⵕⵕⴰⴽⵯⵛ مراكش, Pachalik de Marrakech, Préfecture de Marrakech عمالة مراكش, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 40035, Maroc ⵍⵎⵖⵔⵉⴱ المغرب"
"Rudolf Tonn Stadion, Schwechat (AUT)",48.12797935,16.46897961193934,159.0,NOT FOUND
"Olimpiai Sportpark, Győr (HUN)",47.6835029,17.6342832,116.0,NOT FOUND
Loughborough (GBR),52.7723859,-1.2077985,47.0,"Loughborough, Charnwood, Leicestershire, England, LE11 5BJ, United Kingdom"
Schifflange (LUX),49.5081562,6.0212417,294.0,"Lux-Lettrage, 57, Rue de Noertzange, Schifflange, Canton Esch-sur-Alzette, 3860, Lëtzebuerg"
Sherbrooke (CAN),45.403271,-71.889038,144.0,NOT FOUND
"Stadion Festwiese, Stuttgart (GER)",48.7784485,9.1800132,246.0,"Stuttgart, Baden-Württemberg, Deutschland"
"Kaftanzoglio Stadium, Thessaloniki (GRE)",40.62554745,22.966975655321782,57.0,NOT FOUND
Unna (GER) (i),51.5348835,7.689014,115.0,"Unna, Kreis Unna, Nordrhein-Westfalen, Deutschland"
Penza (RUS),53.1765982,45.0131181,158.0,"Рус-телетот, 33, улица Калинина, ЖК Покровский, остров Пески, Ленинский район, городской округ Пенза, Пензенская область, Приволжский федеральный округ, 440052, Россия"
"Complexe Sportif de Blocry, Louvain-La-Neuve (BEL) (i)",50.6562542,4.5629033,60.0,"Avenue Bel Horizon, Céroux-Mousty, Ottignies-Louvain-la-Neuve, Nivelles, Brabant wallon, Wallonie, 1341, België / Belgique / Belgien"
"Jāņa Daliņa Manēža, Valmiera (LAT) (i)",57.54083735,25.43953899256556,49.0,NOT FOUND
"Velesajam Hall, Zagreb (CRO) (i)",45.8130967,15.9772795,135.0,"Grad Zagreb, Hrvatska"
Riccione (ITA),43.998274,12.6474368,7.0,"Riccione, Rimini, Emilia-Romagna, Italia"
Simferopol (URS),51.4645957,81.5338754,246.0,NOT FOUND
Lappajärvi (FIN),63.2193382,23.628386,0.0,NOT FOUND
"Bežigrajski stadion, Ljubljana (SLO)",46.0632918,14.5520767,291.0,"Aquafil SLO (Yulon), 15, Letališka cesta, Četrtna skupnost Jarše, Ljubljana, Upravna Enota Ljubljana, 1000, Slovenija"
Herzebrock-Clarholz (GER) (i),51.8993207,8.2249038,71.0,"Herzebrock-Clarholz, Kreis Gütersloh, Nordrhein-Westfalen, 33442, Deutschland"
Pordenone (ITA),45.9562503,12.6597197,31.0,"Pordenone / Pordenon, Friuli-Venezia Giulia, 33170, Italia"
"Palo Verde, CA (USA)",33.4265433,-114.7276845,70.0,"Palo Verde, Imperial County, California, 92266, United States"
Luoyang (CHN),43.8732628,125.2418633,219.0,"洛阳街, 南阳路, 广兴街道, 长春汽车经济技术开发区, 绿园区, 长春市, 绿园区, 吉林省, 130000, 中国"
"Stadion Topolica, Bar (MNE)",42.1009762,19.1024526,16.0,"Pauza.mne, 2d, Borska ulica, Makedonsko naselje, Bar, Opština Bar, 85354, Crna Gora / Црна Гора"
"Kergejõustiku staadion, Kääriku (EST)",59.2454012,24.50799779088909,44.0,NOT FOUND
"Military Academy Stadium, Beograd (SRB)",44.8025536,20.3827461,81.0,"Coral SRB, 40b, Јурија Гагарина, МЗ Младост, Београд (Нови Београд), Град Београд, Централна Србија, 11197, Србија"
"Atletski stadion, Sremska Mitrovica (SRB)",44.9701654,19.6124132,83.0,NOT FOUND
Agropoli (ITA),40.346905,14.996553,7.0,"Agropoli, Salerno, Campania, Italia"
Oxford (GBR),51.7520131,-1.2578499,69.0,"Oxford, Oxfordshire, England, United Kingdom"
Zaporozhye (URS),46.396988,34.709885,24.0,NOT FOUND
Leningrad (URS) (i),59.9606739,30.1586551,0.0,NOT FOUND
"Leichtathletikstadion, Rostock (GER)",54.0886707,12.1400211,17.0,"Rostock, Mecklenburg-Vorpommern, Deutschland"
Angoulême (FRA),45.6484505,0.1561947,107.0,"Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16000, France"
Narrabeen (AUS),-33.7135699,151.2978164,0.0,NOT FOUND
"Pista Rafael Fortun Chacon, Camagüey (CUB)",21.3771783,-77.9088135445682,91.0,NOT FOUND
Sagamihara (JPN),35.5714621,139.3731052,131.0,NOT FOUND
Ordos (CHN),39.4602947,108.8134284,1375.0,NOT FOUND
"Champaign, IL (USA)",40.1164841,-88.2430932,225.0,"Champaign, Champaign County, Illinois, United States"
Bhubaneshwar (IND),20.2602964,85.8394521,44.0,NOT FOUND
"Santa Fe, NM (USA)",35.6876096,-105.938456,2133.0,"Santa Fe, Santa Fe County, New Mexico, United States"
Kemerovo (RUS),55.3422674,86.0968484,145.0,"АВТОэксперт.Рус, Соборная улица, Заводский район, Кемерово, Кемеровский городской округ, Кемеровская область, Сибирский федеральный округ, 650004, Россия"
"Banqiao Stadium, New Taipei City (TPE)",25.0151874,121.464592,11.0,NOT FOUND
Hilversum (NED),52.2241375,5.1719396,13.0,NOT FOUND
Taichung (TPE),25.044247,121.5265632,35.0,"台中商業銀行, 85, 忠孝東路一段, 光華商場, 梅花里, 中正區, 華山, 臺北市, 100, 臺灣"
Katerini (GRE),40.2713616,22.5087618,40.0,NOT FOUND
Hiratsuka (JPN),35.3350609,139.3494345,14.0,NOT FOUND
Artemisa (CUB),22.8272763,-82.92592448088564,220.0,NOT FOUND
Fukui (JPN),35.9263502,136.6068127,933.0,NOT FOUND
Yamaguchi (JPN),34.2379614,131.5873845,283.0,NOT FOUND
"Naperville, IL (USA)",41.7728699,-88.1479278,209.0,"Naperville, Naperville Township, DuPage County, Illinois, United States"
Lorca (ESP),37.6711989,-1.6988592,335.0,NOT FOUND
Ansan (KOR),37.3217152,126.8308604,26.0,NOT FOUND
"Saginaw, MI (USA)",43.4200387,-83.9490365,180.0,"Saginaw, Saginaw County, Michigan, United States"
"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",-29.6156669,30.383672,654.0,"Msunduzi Athletics Stadium, Princess Margaret Drive, Msunduzi Ward 27, Pietermaritzburg, Msunduzi Local Municipality, uMgungundlovu District Municipality, KwaZulu-Natal, 3200, South Africa"
"Sätrahallen, Stockholm (SWE) (i)",59.3587062,17.8736682,21.0,"Swe Bilar, Bergslagsvägen, Vällingby, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 162 65, Sverige"
